id,name
33483050,Camp Hanuman stop
39862182,Bhilvas stop
33482292,Giradharnagar stop
33482823,Kalagi Park stop
46422927,Gayatri Mandir BRTS stop
45183966,Gopal Park stop
33482509,Jehangirpura stop
45341548,Kathwada Turning stop
467017,Aanandpura Approach stop
467018,Aanandpura Approach stop
467016,Aanandpura Gam stop
477214,Kathwada Turning stop
467015,Aanandpura Gam stop
477213,Kathwada Turning stop
45142127,Aarna Clothing (Vadsar) stop
45351263,Amarpura stop
45142128,Aarna Clothing (Vadsar) stop
45351264,Amarpura stop
33482965,Airforce Gate stop
45378923,Ambika Farm stop
467012,Andhariya Jogani Mandir stop
45378922,Ambika Farm stop
33482964,Airforce Gate stop
45329012,Arun Engiron Private Limited stop
45239735,Arvind International stop
467011,Andhariya Jogani Mandir stop
45142125,Arvind Mills Vadsar stop
45329013,Arun Engiron Private Limited stop
45142126,Arvind Mills Vadsar stop
33483766,Arvind Polycoat (Khatraj) stop
45239733,Arvind Textile Park stop
33483771,Arvind Polycoat (Khatraj) stop
45239732,Arvind Textile Park stop
46422942,Bhavna Farm stop
46422943,Bhavna Farm stop
467006,Borisana Gam stop
467005,Borisana Gam stop
45841562,Canal Bridge stop
46422945,Chehar Krupa Farm stop
46422944,Chehar Krupa Farm stop
45841561,Canal Bridge stop
33482868,Chehar Nagar stop
45239719,Chokshi Tubes stop
33482871,Chehar Nagar stop
45239718,Chokshi Tubes stop
45841555,Dabhala Chokdi stop
45841568,Dabhala Panjrapole stop
45841556,Dabhala Chokdi stop
45841567,Dabhala Panjrapole stop
45329009,Dhara Estate stop
45239741,Gandhinagar Institute Of Technology stop
45352504,Dhara Estate stop
45239740,Gandhinagar Institute Of Technology stop
45329010,Goga Maharaj Nu Mandir stop
45329015,Gujarat Vidyut Board stop
45329011,Goga Maharaj Nu Mandir stop
45329014,Gujarat Vidyut Board stop
471043,Gurukrupa Polyplast stop
471044,Gurukrupa Polyplast stop
45142134,Hajipura Cross Road stop
45142133,Hajipura Cross Road stop
45378925,Jaspur Gam stop
46422939,Jaspur Talav stop
45378924,Jaspur Gam stop
